Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Return to Never Land,2002,G,15 Feb 2002,72 min,"Animation, Adventure, Family","Robin Budd, Donovan Cook","Temple Mathews, Carter Crocker, J.M. Barrie","Blayne Weaver, Harriet Owen, Corey Burton","In London during World War II, this is the story of Wendy's daughter, Jane, who is kidnapped by Captain Hook and Peter Pan must come to the rescue.","North American Indian, French, English","United States, Canada, Australia",4 nominations total,https://m.media-amazon.com/images/M/MV5BZWE3NDk1YTUtMTllNS00OTY0LTg2YjItNWUxMTU1N2EwM2FhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.8,"22,918",tt0280030,movie,N/A,"$48,430,258",N/A,N/A,True
Selma,2014,PG-13,09 Jan 2015,128 min,"Biography, Drama, History",Ava DuVernay,Paul Webb,"David Oyelowo, Carmen Ejogo, Oprah Winfrey","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.","English, Portuguese","United States, United Kingdom, France",Won 1 Oscar. 58 wins & 91 nominations total,https://m.media-amazon.com/images/M/MV5BZDFiN2I4YjUtNDE5ZS00MGMwLWJlZmItN2FhZGRjNTM1NWM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.5,"96,889",tt1020072,movie,N/A,"$52,076,908",N/A,N/A,True
The Jungle Book 2,2003,G,14 Feb 2003,72 min,"Animation, Adventure, Comedy",Steve Trenbirth,"Karl Geurs, Carter Crocker, Evan Spiliotopoulos","John Goodman, Haley Joel Osment, Tony Jay","Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild.",English,"United States, Australia, France",1 win & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNDk2NTk1NzQxN15BMl5BanBnXkFtZTYwMDMyMTg5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.3,"18,796",tt0283426,movie,N/A,"$47,901,582",N/A,N/A,True
The Boogeyman,2023,PG-13,02 Jun 2023,98 min,"Horror, Mystery, Thriller",Rob Savage,"Scott Beck, Bryan Woods, Mark Heyman","Sophie Thatcher, Chris Messina, Vivien Lyra Blair","Two sisters grieving the recent death of their mother without receiving much support from their father, a therapist who is dealing with his own grief, must face a supernatural entity that feeds on the suffering of its victims.",English,"United States, Canada",3 nominations total,https://m.media-amazon.com/images/M/MV5BNzIzOThmYjAtMTEwMy00ZmEwLWIzOGMtYjZkYmI3ODk0OGQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,5.9,"49,869",tt3427252,movie,N/A,"$43,244,282",N/A,N/A,True
Premonition,2007,PG-13,16 Mar 2007,96 min,"Drama, Fantasy, Mystery",Mennan Yapo,Bill Kelly,"Sandra Bullock, Julian McMahon, Amber Valletta",A woman has a precognitive vision of her husband's death.,English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BZWFiMTdmZjMtODMyOC00NjUwLTg2ODAtMGFmNDBhZmFlYmZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29,5.9,"83,363",tt0477071,movie,N/A,"$47,852,604",N/A,N/A,True
The Tigger Movie,2000,G,11 Feb 2000,77 min,"Animation, Adventure, Comedy",Jun Falkenstein,"Eddie Guzelian, Jun Falkenstein, A.A. Milne","Jim Cummings, Nikita Hopkins, Ken Sansom",Tigger goes looking through the hundred-acre-wood to find his family.,English,"Japan, United States",4 nominations total,https://m.media-amazon.com/images/M/MV5BMTE5NDIyODU4M15BMl5BanBnXkFtZTYwODA5MzY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.3,"20,823",tt0220099,movie,N/A,"$45,554,533",N/A,N/A,True
Orphan,2009,R,24 Jul 2009,123 min,"Horror, Mystery, Thriller",Jaume Collet-Serra,"David Leslie Johnson-McGoldrick, Alex Mace","Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman",A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.,"English, American Sign , Estonian","Canada, United States, Germany, France",1 win & 7 nominations total,https://m.media-amazon.com/images/M/MV5BYjc1Y2M4ZmQtMTA2NC00OTUwLTgxZDMtZDJmNTk1OTU4Njk4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,7.0,"266,818",tt1148204,movie,N/A,"$41,596,251",N/A,N/A,True
Mad Max: Fury Road,2015,R,15 May 2015,120 min,"Action, Adventure, Sci-Fi",George Miller,"George Miller, Brendan McCarthy, Nick Lathouris","Tom Hardy, Charlize Theron, Nicholas Hoult","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.","English, Russian","Australia, United States",Won 6 Oscars. 245 wins & 234 nominations total,https://m.media-amazon.com/images/M/MV5BZDRkODJhOTgtOTc1OC00NTgzLTk4NjItNDgxZDY4YjlmNDY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.1,"1,164,488",tt1392190,movie,N/A,"$154,280,290",N/A,N/A,True
Meet the Browns,2008,PG-13,21 Mar 2008,100 min,"Comedy, Drama, Romance",Tyler Perry,Tyler Perry,"Tamela J. Mann, Angela Bassett, Tyler Perry","A single mom takes her family to Georgia for the funeral of her father--a man she never met--and she and her clan meet the crass, fun-loving Brown family.",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BMTIyNTgyMjgxMF5BMl5BanBnXkFtZTcwMjc3NzI2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,4.5,"7,482",tt1047494,movie,N/A,"$41,975,388",N/A,N/A,True
Epic Movie,2007,PG-13,26 Jan 2007,86 min,"Adventure, Comedy, Fantasy","Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer","Kal Penn, Jennifer Coolidge, Fred Willard","A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.",English,United States,2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTA3NDM5ODU3NzleQTJeQWpwZ15BbWU3MDgyMjgyNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '2%'}, {'Source': 'Metacritic', 'Value': '17/100'}]",17,2.4,"111,141",tt0799949,movie,N/A,"$39,739,367",N/A,N/A,True
Conan the Barbarian,1982,R,14 May 1982,129 min,"Adventure, Fantasy",John Milius,"Robert E. Howard, John Milius, Oliver Stone","Arnold Schwarzenegger, James Earl Jones, Max von Sydow",A powerful warrior seeks to avenge the genocide of his people and the murder of his parents at the hands of a snake cult.,English,"United States, Mexico",2 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMjUzM2YzZDAtNzk1MS00YmNmLTg1ZmQtNjgyN2U3NTY0ZjE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.9,"168,075",tt0082198,movie,N/A,"$39,565,475",N/A,N/A,True
Spotlight,2015,R,20 Nov 2015,129 min,"Biography, Crime, Drama",Tom McCarthy,"Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",English,United States,Won 2 Oscars. 124 wins & 144 nominations total,https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",93,8.1,"514,090",tt1895587,movie,N/A,"$45,055,776",N/A,N/A,True
Lakeview Terrace,2008,PG-13,19 Sep 2008,110 min,"Crime, Drama, Thriller",Neil LaBute,"David Loughery, Howard Korder","Samuel L. Jackson, Patrick Wilson, Kerry Washington",A troubled and racist African-American L.A.P.D. Officer will stop at nothing to force out a friendly interracial couple who just moved in next door to him.,English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTI0MzI0NDI4Ml5BMl5BanBnXkFtZTcwOTk4ODk3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.2,"57,759",tt0947802,movie,N/A,"$39,263,506",N/A,N/A,True
The Grudge 2,2006,PG-13,13 Oct 2006,102 min,"Horror, Thriller",Takashi Shimizu,"Stephen Susco, Takashi Shimizu","Amber Tamblyn, Edison Chen, Arielle Kebbel",Three interwoven stories about a terrible curse. A young woman encounters a malevolent supernatural force while searching for her missing sister in Tokyo; a mean high school prank goes horribly wrong; a woman with a deadly secret ...,"English, Japanese","United States, Japan",3 nominations total,https://m.media-amazon.com/images/M/MV5BMjE3NDIxMDc2MF5BMl5BanBnXkFtZTcwMTg2MTkzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.1,"52,250",tt0433386,movie,N/A,"$39,143,839",N/A,N/A,True
How Stella Got Her Groove Back,1998,R,14 Aug 1998,124 min,"Comedy, Drama, Romance",Kevin Rodney Sullivan,"Terry McMillan, Ron Bass","Angela Bassett, Taye Diggs, Whoopi Goldberg","Stella is a highly successful, forty-something San Francisco stock broker who is persuaded by her colorful New York girlfriend Delilah to take a well deserved, first-class vacation to Jamaica.",English,United States,4 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BOTg5Yzk0NjItZTBkZS00NTc4LTgwZGMtYWU3YTYzNjZlYTEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,5.7,"8,508",tt0120703,movie,N/A,"$37,672,941",N/A,N/A,True
Bill,2015,Not Rated,18 Sep 2015,94 min,"Comedy, Family, History",Richard Bracewell,"Laurence Rickard, Ben Willbond","Mathew Baynton, Simon Farnaby, Martha Howe-Douglas",What really happened during Shakespeare's 'Lost Years'? Hopeless lute-player Bill Shakespeare leaves his home to follow his dream.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOTQ1YmQ0OWItZmEyYS00ZWQ3LWFjNDgtMzUyZjNiZDkxMjRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.6,"3,373",tt2978576,movie,18 Nov 2016,N/A,BBC Films,N/A,True
Man of the Year,2006,PG-13,13 Oct 2006,115 min,"Comedy, Drama, Romance",Barry Levinson,Barry Levinson,"Robin Williams, Laura Linney, Lewis Black",A comedian who hosts a news satire program decides to run for president and a computerized voting machine malfunction gets him elected.,English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTM0NzQxMjk0OV5BMl5BanBnXkFtZTcwMDUyNDgzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.2,"36,111",tt0483726,movie,N/A,"$37,327,390",N/A,N/A,True
The Black Hole,1979,PG,21 Dec 1979,98 min,"Action, Sci-Fi",Gary Nelson,"Jeb Rosebrook, Bob Barbash, Richard H. Landau","Maximilian Schell, Anthony Perkins, Robert Forster","A research vessel finds a missing ship, commanded by a mysterious scientist, on the edge of a black hole.",English,United States,Nominated for 2 Oscars. 8 nominations total,https://m.media-amazon.com/images/M/MV5BYWNiMDIxZTItOTBmMy00MTM3LWFjZmItZjk1MGJhMzQ5MDkzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,5.9,"28,732",tt0078869,movie,N/A,"$35,841,901",N/A,N/A,True
The American,2010,R,01 Sep 2010,105 min,"Crime, Drama, Thriller",Anton Corbijn,"Rowan Joffe, Martin Booth","George Clooney, Paolo Bonacelli, Violante Placido",An assassin hides out in Italy for one last assignment.,"English, Italian","United States, United Kingdom",4 nominations total,https://m.media-amazon.com/images/M/MV5BMjAxMDg1NDcxM15BMl5BanBnXkFtZTcwODc3MDg1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.3,"104,382",tt1440728,movie,N/A,"$35,606,376",N/A,N/A,True
Selena,1997,PG,21 Mar 1997,127 min,"Biography, Drama, Music",Gregory Nava,Gregory Nava,"Jennifer Lopez, Edward James Olmos, Jon Seda","The true story of Selena, a Texas-born Tejana singer who rose from cult status to performing at the Astrodome, as well as having chart-topping albums on the Latin music charts.","English, Spanish",United States,9 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BOWU2MjkzN2EtNzY4MC00N2RlLThiNzEtMjk2M2M3NGJjZjRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.9,"32,366",tt0120094,movie,N/A,"$35,764,351",N/A,N/A,True
Vampires Suck,2010,PG-13,18 Aug 2010,82 min,"Comedy, Horror","Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer","Jenn Proske, Matt Lanter, Diedrich Bader","In this spoof of vampire-themed movies, teenager Becca finds herself torn between two boys. She and her friends wrestle with endless dramas that crescendo at the prom.","English, German",United States,7 nominations,https://m.media-amazon.com/images/M/MV5BMTk2MDk0NDU4MF5BMl5BanBnXkFtZTcwNzAyODk2Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '18/100'}]",18,3.4,"52,508",tt1666186,movie,N/A,"$36,661,504",N/A,N/A,True
Babel,2006,R,10 Nov 2006,143 min,Drama,Alejandro G. Iñárritu,"Guillermo Arriaga, Alejandro G. Iñárritu","Brad Pitt, Cate Blanchett, Gael García Bernal","Tragedy strikes a married couple on vacation in the Moroccan desert, which jump starts an interlocking story involving four different families.","English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign ","United States, Mexico, France, Japan",Won 1 Oscar. 45 wins & 137 nominations total,https://m.media-amazon.com/images/M/MV5BNDY3YjliMzgtMTkxYi00MmRkLWI1YTktNGQ3NGJhNzVhNzg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.5,"322,031",tt0449467,movie,N/A,"$34,302,837",N/A,N/A,True
This Is Where I Leave You,2014,R,19 Sep 2014,103 min,"Comedy, Drama",Shawn Levy,Jonathan Tropper,"Jason Bateman, Tina Fey, Jane Fonda","After their father passes away, four grown siblings are forced to return to their childhood home and live under the same roof for a week, along with their over-sharing mother and an assortment of spouses, exes, and might-have-beens.","English, Hebrew",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMjkzNzQ2NDMyNl5BMl5BanBnXkFtZTgwMTY3MTcxMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.6,"91,572",tt1371150,movie,N/A,"$34,296,320",N/A,N/A,True
Doubt,2008,PG-13,25 Dec 2008,104 min,"Drama, Mystery",John Patrick Shanley,John Patrick Shanley,"Meryl Streep, Philip Seymour Hoffman, Amy Adams",A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.,English,United States,Nominated for 5 Oscars. 25 wins & 97 nominations total,https://m.media-amazon.com/images/M/MV5BZWZmNDMyY2UtOWIwMC00MjE5LTkwNmUtYjRiMThkNjI0OGEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.5,"141,722",tt0918927,movie,N/A,"$33,446,470",N/A,N/A,True
Team America: World Police,2004,R,15 Oct 2004,98 min,"Action, Comedy",Trey Parker,"Trey Parker, Matt Stone, Pam Brady","Trey Parker, Matt Stone, Elle Russ","Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.","English, French, Klingon, Korean, Arabic","United States, Germany",1 win & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMTM2Nzc4NjYxMV5BMl5BanBnXkFtZTcwNTM1MTcyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.2,"182,245",tt0372588,movie,N/A,"$32,786,074",N/A,N/A,True
Copycat,1995,R,27 Oct 1995,123 min,"Drama, Mystery, Thriller",Jon Amiel,"Ann Biderman, David Madsen","Sigourney Weaver, Holly Hunter, Dermot Mulroney",A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,English,United States,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.6,"68,789",tt0112722,movie,N/A,"$32,051,917",N/A,N/A,True
Paint Your Wagon,1969,PG-13,15 Oct 1969,164 min,"Comedy, Drama, Musical",Joshua Logan,"Alan Jay Lerner, Paddy Chayefsky","Lee Marvin, Clint Eastwood, Jean Seberg",Two unlikely prospector partners share the same wife in a California gold rush mining town.,English,United States,Nominated for 1 Oscar. 1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMzIwNjViZWUtOTgyZC00MWFlLWFkMzMtNTFiODhkNDA4NDQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.6,"15,300",tt0064782,movie,N/A,"$14,500,000",N/A,N/A,True
Milk,2008,R,30 Jan 2009,128 min,"Biography, Drama, History",Gus Van Sant,Dustin Lance Black,"Sean Penn, Josh Brolin, Emile Hirsch","The story of American gay activist Harvey Milk, who fought for gay rights and was elected as California's first openly gay official.",English,United States,Won 2 Oscars. 66 wins & 145 nominations total,https://m.media-amazon.com/images/M/MV5BOWVmZWYzMDEtN2NkMi00NWM4LThjYzYtNzBjNzIzN2FmM2NlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.5,"181,480",tt1013753,movie,N/A,"$31,841,299",N/A,N/A,True
Risen,2016,PG-13,19 Feb 2016,107 min,"Action, Drama, History",Kevin Reynolds,"Kevin Reynolds, Paul Aiello","Joseph Fiennes, Tom Felton, Peter Firth","In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of Jesus Christ, who rose from the dead.",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BMTAzNjQ1Mzk2MjNeQTJeQWpwZ15BbWU4MDU0MDk1Mjcx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.3,"32,068",tt3231054,movie,N/A,"$36,880,033",N/A,N/A,True
Ghost Ship,2002,R,25 Oct 2002,91 min,"Horror, Mystery, Thriller",Steve Beck,"Mark Hanlon, John Pogue","Julianna Margulies, Gabriel Byrne, Ron Eldard","A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.","English, Italian, Spanish","United States, Australia",1 nomination total,https://m.media-amazon.com/images/M/MV5BMTM3NTA4NDIwMF5BMl5BanBnXkFtZTYwNTc4NDE3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,5.6,"112,858",tt0288477,movie,N/A,"$30,113,491",N/A,N/A,True
A Very Harold & Kumar Christmas,2011,R,04 Nov 2011,90 min,"Adventure, Comedy",Todd Strauss-Schulson,"Jon Hurwitz, Hayden Schlossberg","Kal Penn, John Cho, Neil Patrick Harris","Six years after their Guantanamo Bay adventure, stoner buds Harold Lee and Kumar Patel cause a holiday fracas by inadvertently burning down Harold's father-in-law's prize Christmas tree.","English, Spanish",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMzA1NTQzMjAyOV5BMl5BanBnXkFtZTcwNDcyMjY2Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.2,"73,798",tt1268799,movie,N/A,"$35,061,031",N/A,N/A,True
Wild Things,1998,R,20 Mar 1998,108 min,"Crime, Drama, Mystery",John McNaughton,Stephen Peters,"Kevin Bacon, Neve Campbell, Matt Dillon",A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.,English,United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZDRiYjFlNjgtNWJkMS00YjAzLTg1OTItZTkxOTFlZDA1N2U4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.6,"136,254",tt0120890,movie,N/A,"$30,147,739",N/A,N/A,True
The Stepfather,2009,PG-13,16 Oct 2009,101 min,"Mystery, Thriller",Nelson McCormick,"J.S. Cardone, Donald E. Westlake, Carolyn Lefcourt","Penn Badgley, Dylan Walsh, Sela Ward","Michael Harding returns home from military school to find his mother, Susan, happily in love and living with her new boyfriend, David. As the two men get to know each other, he becomes more and more suspicious of the man who is al...","English, German",United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ3ODU5OTUwMl5BMl5BanBnXkFtZTcwOTczNDU2Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.6,"40,334",tt0814335,movie,N/A,"$29,062,561",N/A,N/A,True
The Debt,2010,R,31 Aug 2011,113 min,"Drama, Thriller",John Madden,"Matthew Vaughn, Jane Goldman, Peter Straughan","Helen Mirren, Sam Worthington, Tom Wilkinson","In 1965, three Mossad Agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the Agents share come back to haunt them.","English, German, Russian","United Kingdom, Israel, Hungary, United States",13 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZjVjM2RkYmItM2JmMi00MTg4LWIxZWUtODcxMGQxZDQzODQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.8,"72,897",tt1226753,movie,N/A,"$31,177,548",N/A,N/A,True
High Fidelity,2000,R,31 Mar 2000,113 min,"Comedy, Drama, Music",Stephen Frears,"Nick Hornby, D.V. DeVincentis, Steve Pink","John Cusack, Iben Hjejle, Todd Louiso","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.","English, Danish","United Kingdom, United States",Nominated for 1 BAFTA Award3 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMTgxMTI1ODYyOV5BMl5BanBnXkFtZTYwNjQyOTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.4,"194,744",tt0146882,movie,N/A,"$27,287,137",N/A,N/A,True
One Missed Call,2008,PG-13,04 Jan 2008,87 min,"Horror, Mystery",Eric Valette,"Andrew Klavan, Yasushi Akimoto, Minako Daira","Edward Burns, Shannyn Sossamon, Ana Claudia Talancón","Several people start receiving voice-mails from their future selves - messages which include the date, time, and some of the details of their deaths.",English,"United States, Japan, Germany, United Kingdom",2 nominations total,https://m.media-amazon.com/images/M/MV5BMjA2NTk0OTcyMV5BMl5BanBnXkFtZTcwMzk1MDU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,4.0,"34,505",tt0479968,movie,N/A,"$26,890,041",N/A,N/A,True
